#INFO_SAMPLING: PATH_EMBEDDINGS=/home/sharispe/Dropbox/dev/java/workspace/Conceptual-Annotator/resources/glove.6B//glove.6B.50d.txtCONCEPTUAL_SPACE=198 ; NB_SAMPLING_PER_SIZE=100000; AGGREGATION=SUM; SIZE_SAMPLING_SET=1-6 DATE=2017/04/19 17:44:11
>SAMPLING_SIZE=1
URI	NUMBER_NON_NULL_VALUES	PERCENT_NON_NULL_VALUES	SUM	AVERAGE	SUM_SQUARED_VALUES	AVERAGE_SQUARED	MIN_BEST_95	STANDARD_DEVIATION
http://graph/wordnet/07769568	100000	100.0	-7798.03105126584	-0.0779803105126584	2869.695270426299	0.02869695270426299	0.0	0.15038624896117453
http://graph/wordnet/03241438	100000	100.0	3291.2694128910357	0.032912694128910354	2093.9061855649074	0.020939061855649074	0.0	0.14091066822929293
http://graph/wordnet/10344679	100000	100.0	-17455.245153234704	-0.17455245153234705	6003.035983836474	0.06003035983836474	0.0	0.17193545737401686
http://graph/wordnet/10043844	100000	100.0	-18945.05643779945	-0.18945056437799448	6846.794300824041	0.06846794300824041	0.0	0.18048940873386388
http://graph/wordnet/02852392	100000	100.0	-7396.413313248246	-0.07396413313248246	3338.9101518837588	0.03338910151883759	0.0	0.167088026287936
http://graph/wordnet/09493680	100000	100.0	1976.0005528549127	0.01976000552854913	2019.4100952000604	0.020194100952000603	0.0	0.1407254175105276
http://graph/wordnet/02124272	100000	100.0	-13492.430146835048	-0.13492430146835047	4749.405477140705	0.04749405477140706	0.0	0.17114171801371147
http://graph/wordnet/02781674	100000	100.0	-16295.00730901112	-0.1629500730901112	5772.936945664181	0.05772936945664181	0.0	0.17656908884787628
http://graph/wordnet/02785352	100000	100.0	-8747.198721101046	-0.08747198721101046	3341.399017032917	0.03341399017032917	0.0	0.16050745036815578
http://graph/wordnet/09331478	100000	100.0	4326.553952795797	0.043265539527957975	1962.8224294980623	0.019628224294980623	0.0	0.13325283255651765
http://graph/wordnet/07939004	100000	100.0	-2225.858274460404	-0.02225858274460404	2082.9534720188326	0.020829534720188326	0.0	0.14259765150376755
http://graph/wordnet/03180509	100000	100.0	7946.984794294291	0.0794698479429429	2564.1248534878932	0.02564124853487893	0.0	0.1390172356321491
http://graph/wordnet/03681809	100000	100.0	-5108.465247761792	-0.05108465247761792	2567.334940402519	0.02567334940402519	0.0	0.15186740165442417
http://graph/wordnet/09846929	100000	100.0	-33.96650767652853	-3.3966507676528527E-4	1883.9003656016184	0.018839003656016186	0.0	0.13725482972796188
http://graph/wordnet/09376006	100000	100.0	13420.905112862927	0.13420905112862927	3792.5417652679266	0.03792541765267927	0.0	0.14111466347560145
http://graph/wordnet/09382700	100000	100.0	-11078.258198396174	-0.11078258198396174	4098.824006639268	0.040988240066392685	0.0	0.16945636487119475
http://graph/wordnet/07456888	100000	100.0	-13312.769763381531	-0.13312769763381532	4818.685685078281	0.048186856850782805	0.0	0.17453902994316844
http://graph/wordnet/01677105	100000	100.0	-2564.634869942369	-0.02564634869942369	2366.644911535604	0.02366644911535604	0.0	0.15168623508329163
http://graph/wordnet/13603216	100000	100.0	-21190.422561099873	-0.21190422561099873	8063.860553954826	0.08063860553954826	0.0	0.18903757485682893
http://graph/wordnet/11521799	100000	100.0	-2838.549300543755	-0.02838549300543755	2210.6194665220273	0.022106194665220274	0.0	0.14594676581568544
http://graph/wordnet/04216306	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
