#query id=180 conceptLabel=Stupide conceptURI=10686626  labels=[school, dumb, challenge, smart]
0	00007846	[individual, someone, person, soul, somebody, mortal]
1	00884975	[education, didactics, instruction, pedagogy, teaching]
2	06790941	[gag, jest, jape, joke, laugh]
3	07135232	[call, yell, cry, outcry, shout]
4	10686626	[stupid, dullard, dolt]
5	10713754	[teacher, instructor]
6	02961779	[automobile, auto, car, machine, motorcar]
7	06287933	[tv, telecasting, television, video]
8	02474924	[homo, man, human]
9	09950623	[clown, buffoon]
10	07558676	[love]
11	07499687	[ambition, dream, aspiration]
12	02086723	[dog]
13	09784701	[actor, thespian, player]
14	03187746	[device]
15	03086983	[computer]
16	03931348	[photograph, exposure, photo, pic, picture]
17	07456888	[spin]
18	03549540	[house]
19	07556254	[defeat, frustration]
20	04408223	[phone, telephone]
21	03585784	[cyberspace, net, internet]
22	07275291	[standard, criterion, measure, touchstone]
23	00482004	[basketball, hoops]
24	15262047	[summer, summertime]
25	08893849	[london]
26	03472916	[gun]
27	03005231	[chair]
28	07728304	[chip, crisp]
29	04341737	[street]
30	10895767	[obama]
31	04531608	[vehicle]
32	03254045	[pharmacy, drugstore]
33	07755101	[apple]
34	10486745	[president]
35	07034009	[music]
36	03226423	[door]
37	02124272	[cat]
38	05396148	[ticker, pump, heart]
39	10352098	[mother]
40	07324399	[motion, movement]
41	09339360	[island]
42	10344679	[hero]
43	02781674	[ball]
44	04386330	[table]
45	05138912	[altitude, height]
46	00120388	[jumping, jump]
47	02824762	[bedchamber, chamber, bedroom]
48	05407190	[blood]
49	13124818	[tree]
50	13477888	[decay]
51	04125115	[carpeting, rug, carpet]
52	03099154	[container]
53	09846929	[baby, babe, infant]
54	09861435	[cager]
55	04481701	[trap]
56	02803656	[basement, cellar]
57	03637568	[ladder]
58	05262259	[hair]
59	04497386	[truck]
60	13407086	[currency]
61	02123649	[feline, felid]
62	03934354	[piano, pianoforte]
63	13149924	[stalk, stem]
64	03036237	[cinema]
65	02953692	[cannon]
66	03565341	[idol, god]
67	02392211	[donkey]
68	15207154	NOT_FOUND
69	06370600	[website, site]
70	06580310	[os]
71	00889222	NOT_FOUND
72	02777635	[baggage, luggage]
73	04233049	[skateboard]
74	02785352	[balloon]
75	04094238	[rib]
76	10372030	[neighbour, neighbor]
77	07658542	[jam]
78	09895920	[brother]
79	07769568	[banana]
80	03241438	[dress, frock]
81	08928282	[bali]
82	01642406	[frog, toad, anuran]
83	04396120	[tank]
84	10842973	[armstrong]
85	10043844	[domestic]
86	12122650	[grass]
87	02852392	[cover, blanket]
88	09493680	[vent, volcano]
89	09473312	[sun]
90	09331478	[berg, iceberg]
91	07939004	[cocoa, chocolate]
92	03180509	[floss]
93	08306203	[hip-hop]
94	09583190	[cupid, amor]
95	07419737	[avalanche]
96	03681809	[lipstick]
97	09376006	[meteoroid, meteor]
98	09382700	[mountain, mount]
99	09569105	[ghost]
